YEAR,LCP_009A,LCP_010A,LCP_011A,LCP_015A,LCP_016B,LCP_017B,LCP_023A,LCP_049A,LCP_051B,LCP_12B
1886,298.0,,,,,,,,,
1887,220.0,,,,,,,,,
1888,227.0,,,,,,,,,
1889,258.0,,,,,,,,,
1890,249.0,,,,,,,,,
1891,259.0,,,,,,,,,
1892,254.0,,,,,,,,,
1893,274.0,,,,,,,,,
1894,341.0,,,,,,,,,
1895,328.0,,,,,,,,,
1896,323.0,,,,,,,,,
1897,333.0,,,,,,,,,
1898,311.0,,,,,,,,,
1899,224.0,,,,,,,,,
1900,293.0,,,,,,,,,
1901,195.0,,,,,,,,,
1902,223.0,,,,481.0,,,,,
1903,264.0,,,,609.0,,,,,
1904,207.0,,,,541.0,,,,,
1905,207.0,,,,562.0,,,,,389.0
1906,224.0,,,,574.0,,,,,353.0
1907,322.0,,,,720.0,,,,,534.0
1908,286.0,,,,575.0,,,,,546.0
1909,289.0,,,,590.0,,,,,648.0
1910,306.0,,336.0,,533.0,,,,,519.0
1911,395.0,,342.0,,479.0,,,,,649.0
1912,364.0,,426.0,,578.0,,,,1878.0,690.0
1913,368.0,,433.0,,663.0,,621.0,,1561.0,713.0
1914,309.0,216.0,390.0,,667.0,980.0,571.0,440.0,1454.0,579.0
1915,297.0,290.0,365.0,1257.0,636.0,1068.0,512.0,572.0,1525.0,534.0
1916,238.0,235.0,312.0,956.0,573.0,1022.0,370.0,484.0,1462.0,427.0
1917,345.0,422.0,340.0,1194.0,628.0,1176.0,523.0,556.0,1821.0,549.0
1918,339.0,362.0,389.0,1395.0,641.0,1087.0,634.0,568.0,2198.0,538.0
1919,431.0,438.0,375.0,1414.0,672.0,1501.0,693.0,1086.0,2213.0,547.0
1920,356.0,397.0,396.0,1421.0,621.0,1237.0,678.0,628.0,1572.0,557.0
1921,368.0,362.0,477.0,1486.0,582.0,1339.0,805.0,605.3333333333334,2055.0,654.0
1922,494.0,446.0,451.0,1703.0,673.0,1384.0,707.0,582.6666666666666,2010.0,668.0
1923,300.0,412.0,398.0,1353.0,464.0,1085.0,628.0,560.0,1780.0,497.0
1924,302.0,310.0,351.0,1364.0,379.0,1179.0,447.0,637.0,1504.0,351.0
1925,335.5,377.0,416.0,1498.0,549.0,1369.0,647.0,550.0,2163.0,511.0
1926,369.0,377.0,465.0,1572.0,520.0,1292.0,590.5,803.0,2134.5,606.0
1927,298.0,369.0,377.0,1798.0,477.0,1252.0,534.0,928.0,2106.0,446.0
1928,261.0,392.0,341.0,1513.0,293.0,1274.0,569.0,984.0,1956.0,447.0
1929,447.0,552.0,352.0,1696.0,417.0,1570.0,883.0,2055.0,2464.0,462.0
1930,548.0,469.0,327.0,1693.0,514.0,1512.0,801.0,1808.0,2290.0,514.0
1931,488.0,491.0,426.0,1912.0,597.0,1455.0,905.0,2538.0,2328.0,578.0
1932,396.0,427.0,352.0,1748.0,427.0,1233.0,670.0,1559.0,1636.0,459.0
1933,357.0,536.0,392.0,1657.0,534.0,1173.0,668.0,1277.0,1924.0,476.0
1934,368.0,370.0,313.0,1250.0,397.0,1037.0,556.0,1010.0,1978.0,373.0
