YEAR,LCP_009A,LCP_010A,LCP_011A,LCP_015A,LCP_016B,LCP_017B,LCP_023A,LCP_049A,LCP_051B,LCP_12B
1886,3.96,,,,,,,,,
1887,4.15,,,,,,,,,
1888,4.225,,,,,,,,,
1889,4.29,,,,,,,,,
1890,4.41,,,,,,,,,
1891,4.22,,,,,,,,,
1892,4.4325,,,,,,,,,
1893,4.505,,,,,,,,,
1894,4.1975,,,,,,,,,
1895,4.5725,,,,,,,,,
1896,4.41,,,,,,,,,
1897,3.99,,,,,,,,,
1898,4.41,,,,,,,,,
1899,4.5525,,,,,,,,,
1900,4.25,,,,,,,,,
1901,4.38,,,,,,,,,
1902,4.33,,,,4.1425,,,,,
1903,4.145,,,,4.015,,,,,
1904,4.24,,,,4.155,,,,,
1905,4.11,,,,4.23,,,,,3.43
1906,3.97,,,,4.07,,,,,3.18
1907,4.4,,,,3.8,,,,,3.15
1908,4.41,,,,4.175,,,,,3.235
1909,4.59,,,,4.02,,,,,3.26
1910,4.85,,3.93,,4.2325,,,,,3.52
1911,4.09,,3.56,,3.77,,,,,3.31
1912,4.785,,3.85,,4.33,,,,2.9775,3.45
1913,4.5775,,3.665,,4.2425,,3.75,,3.22,3.47
1914,4.33,3.73,3.6725,,4.09,4.9125,3.57,4.145,2.98,3.27
1915,4.205,3.67,3.8,4.28,4.1175,4.57,3.5575,4.12,2.835,3.09
1916,4.4375,4.07,3.83,4.0975,4.45,4.44,3.7175,4.335,3.01,3.46
1917,4.37,3.89,3.97,4.01,4.09,4.7175,3.5775,3.86,2.925,3.31
1918,4.56,3.7625,3.97,4.15,4.14,3.89,3.9325,4.07,2.87,3.2675
1919,4.6875,4.105,3.995,4.37,4.445,4.38,3.82,4.9325,3.325,3.38
1920,4.155,3.61,3.89,3.86,3.83,3.75,3.61,4.005,2.7275,3.16
1921,4.345,3.8225,3.97,4.73,4.13,4.215,3.965,4.1866666666666665,3.0275,3.41
1922,4.57,3.95,4.08,4.92,4.34,4.52,3.655,4.368333333333333,3.09,3.46
