YEAR,LCP_009A,LCP_010A,LCP_011A,LCP_015A,LCP_016B,LCP_017B,LCP_023A,LCP_049A,LCP_051B,LCP_12B
1886,3.2975,,,,,,,,,
1887,3.18,,,,,,,,,
1888,3.38,,,,,,,,,
1889,3.4,,,,,,,,,
1890,3.32,,,,,,,,,
1891,3.36,,,,,,,,,
1892,3.47,,,,,,,,,
1893,3.53,,,,,,,,,
1894,3.615,,,,,,,,,
1895,3.55,,,,,,,,,
1896,3.6325,,,,,,,,,
1897,3.465,,,,,,,,,
1898,3.63,,,,,,,,,
1899,3.59,,,,,,,,,
1900,3.35,,,,,,,,,
1901,3.3825,,,,,,,,,
1902,3.5575,,,,3.3575,,,,,
1903,3.41,,,,3.38,,,,,
1904,3.425,,,,3.32,,,,,
1905,3.43,,,,3.46,,,,,3.345
1906,3.3775,,,,3.37,,,,,3.0975
1907,3.6,,,,3.29,,,,,3.125
1908,3.5325,,,,3.2025,,,,,3.155
1909,3.6275,,,,3.1725,,,,,3.225
1910,3.905,,3.05,,3.3925,,,,,3.5575
1911,3.71,,3.0,,3.105,,,,,3.325
1912,3.875,,3.14,,3.48,,,,2.85,3.5225
1913,3.78,,3.07,,3.43,,3.435,,2.91,3.4925
1914,3.63,3.0575,2.915,,3.22,4.71,3.4275,3.33,2.68,3.235
1915,3.475,2.86,3.16,3.535,3.18,4.4875,3.5425,3.275,2.78,3.165
1916,3.6,3.12,3.16,3.8,3.52,4.5775,3.5425,3.535,2.68,3.3725
1917,3.625,3.2625,3.02,3.55,3.18,4.3575,3.44,3.31,2.68,3.1425
1918,3.95,3.105,3.11,3.7725,3.35,3.96,3.6225,3.435,2.74,3.32
1919,3.76,3.39,3.14,3.7675,3.4525,4.7775,3.525,3.87,2.85,3.2625
1920,3.5225,3.08,3.1325,3.7225,3.2775,4.44,3.5375,3.32,2.6825,3.0175
1921,3.61,3.09,3.38,3.745,3.41,4.2475,3.69,3.375,2.92,3.2875
1922,3.76,3.1925,3.275,3.79,3.415,4.14,3.6925,3.4299999999999997,2.825,3.41
1923,3.275,3.005,3.1175,3.665,3.1825,4.0425,3.48,3.485,2.7925,3.11
1924,3.5725,3.14,3.28,4.0575,3.55,4.1175,3.36,3.62,2.72,3.5
1925,3.5912499999999996,2.99,3.28,3.75,3.45,4.09,3.39,3.9,2.875,3.39
1926,3.61,3.18,3.26,3.77,3.26,3.9875,3.20875,4.0225,2.9775,3.43
1927,3.46,3.125,3.215,3.98,3.23,4.3275,3.0275,4.415,3.08,3.31
