YEAR,LCP_026A,LCP_031A,LCP_033B,LCP_037A,LCP_038A,LCP_052B,LCP_054B,LCP_28B
1901,,,,,,,,
1902,,,,,,,,
1903,,,,,,,,
1904,,,,,,,,
1905,,,,,,,,
1906,,,,,,,,
1907,,,,,,,,
1908,,,,,,,,
1909,,796.0,,,,,,
1910,,745.0,,,,,,
1911,,1026.0,,,,,,
1912,,1194.0,,,,,,1716.0
1913,,905.0,,,,774.0,,1315.0
1914,1066.0,1346.0,,,,966.0,,1264.0
1915,963.0,1396.0,,,,896.0,,1325.0
1916,1004.0,1046.0,,,1476.0,456.0,,964.0
1917,555.0,1134.0,756.0,1505.0,1275.0,564.0,1185.0,1084.0
1918,655.0,886.0,594.0,1685.0,1026.0,484.0,1155.0,1206.0
1919,715.0,1404.0,975.0,1854.0,1495.0,485.0,1156.0,1805.0
1920,534.0,1086.0,645.0,1365.0,1394.0,444.0,935.0,1015.0
1921,776.0,1695.0,885.0,1936.0,1905.0,935.0,774.0,1644.0
1922,365.0,1206.0,645.0,916.0,765.0,685.0,485.0,954.0
1923,314.0,835.0,724.0,1245.0,1004.0,584.0,454.0,1055.0
1924,226.0,674.0,716.0,1185.0,895.0,564.0,495.0,1016.0
1925,224.0,635.0,434.0,875.0,1215.0,495.0,536.0,854.0
1926,245.0,815.0,703.0,875.0,1033.0,385.0,445.0,1385.0
1927,276.0,544.0,535.0,634.0,824.0,255.0,685.0,1146.0
1928,295.0,485.0,664.0,675.0,725.0,176.0,725.0,1195.0
1929,395.0,464.0,685.0,835.0,775.0,205.0,905.0,1324.0
1930,406.0,466.0,834.0,925.0,855.0,234.0,954.0,1395.0
1931,555.0,885.0,865.0,874.0,866.0,425.0,1225.0,1625.0
1932,423.0,1094.0,974.0,945.0,726.0,444.0,1375.0,2054.0
1933,415.0,705.0,725.0,1165.0,825.0,434.0,1504.0,1715.0
1934,455.0,563.0,325.0,894.0,155.0,186.0,1944.0,1794.0
1935,536.0,994.0,777.0,1264.0,546.0,296.0,1715.0,1685.0
1936,496.0,575.0,755.0,956.0,564.0,245.0,995.0,1065.0
1937,525.0,905.0,705.0,1354.0,785.0,425.0,1072.0,1365.0
1938,425.0,1104.0,895.0,1356.0,715.0,455.0,1046.0,846.0
1939,446.0,976.0,684.0,1223.0,766.0,455.0,955.0,676.0
1940,675.0,1175.0,664.0,734.0,857.0,423.0,1005.0,906.0
1941,525.0,985.0,435.0,1096.0,835.0,545.0,926.0,886.0
1942,415.0,1214.0,536.0,926.0,805.0,475.0,1055.0,794.0
1943,305.0,1366.0,454.0,874.0,755.0,395.0,1106.0,1185.0
1944,347.0,986.0,446.0,854.0,894.0,485.0,805.0,885.0
1945,295.0,926.0,324.0,1076.0,914.0,325.0,795.0,825.0
1946,305.0,867.0,344.0,605.0,855.0,256.0,625.0,795.0
1947,366.0,796.0,545.0,1116.0,1126.0,455.0,975.0,675.0
1948,306.0,935.0,904.0,925.0,1065.0,464.0,1226.0,895.0
1949,555.0,1084.0,795.0,914.0,1105.0,627.0,1275.0,955.0
1950,275.0,295.0,355.0,596.0,566.0,506.0,686.0,285.0
1951,235.0,255.0,155.0,405.0,445.0,215.0,196.0,215.0
1952,426.0,154.0,136.0,614.0,386.0,305.0,84.0,385.0
1953,476.0,223.0,296.0,745.0,396.0,295.0,255.0,325.0
1954,466.0,354.0,244.0,764.0,265.0,234.0,575.0,445.0
1955,435.0,495.0,155.0,774.0,385.0,293.0,474.0,565.0
1956,294.0,335.0,106.0,344.0,335.0,235.0,505.0,345.0
1957,327.0,403.0,216.0,355.0,305.0,405.0,415.0,606.0
1958,266.0,516.0,195.0,634.0,505.0,444.0,446.0,725.0
1959,375.0,565.0,206.0,465.0,385.0,265.0,346.0,516.0
1960,375.0,634.0,256.0,645.0,605.0,385.0,405.0,1126.0
1961,364.0,855.0,214.0,734.0,605.0,487.0,546.0,1164.0
1962,296.0,915.0,195.0,844.0,645.0,574.0,664.0,1194.0
1963,296.0,654.0,172.0,657.0,356.0,607.3333333333334,736.0,1096.0
1964,246.0,734.0,245.0,725.0,456.0,640.6666666666666,1295.0,924.0
1965,365.0,1052.0,285.0,786.0,565.0,674.0,1195.0,1484.0
1966,335.0,795.0,296.0,545.0,675.0,615.0,1155.0,1015.0
1967,425.0,1375.0,346.0,525.0,344.0,725.0,1305.0,1145.0
1968,344.0,1076.0,304.0,526.0,485.0,594.0,1006.0,716.0
1969,455.0,1424.0,524.0,755.0,794.0,756.0,1696.0,1226.0
1970,374.0,1375.0,546.0,696.0,886.0,1245.0,1237.0,1324.0
1971,194.0,575.0,234.0,354.0,306.0,377.0,635.0,556.0
1972,185.0,415.0,165.0,375.0,666.0,324.0,425.0,464.0
1973,264.0,417.0,255.0,475.0,536.0,454.0,675.0,755.0
1974,195.0,376.0,306.0,275.0,664.0,514.0,385.0,635.0
1975,324.0,714.0,575.0,526.0,766.0,655.0,414.0,955.0
1976,277.0,347.0,366.0,626.0,793.0,485.0,365.0,594.0
1977,124.0,355.0,465.0,376.0,545.0,495.0,535.0,576.0
1978,224.0,465.0,354.0,393.0,496.0,535.0,256.0,664.0
1979,365.0,376.0,464.0,696.0,526.0,685.0,915.0,605.0
1980,415.0,465.0,486.0,574.0,615.0,533.0,316.0,985.0
1981,486.0,504.0,354.0,465.0,375.0,335.0,1225.0,1014.0
1982,585.0,527.0,443.0,664.0,655.0,606.0,1056.0,1044.0
1983,706.0,705.0,595.0,617.0,885.0,754.0,1085.0,984.0
1984,797.0,575.0,465.0,574.0,1004.0,565.0,1184.0,864.0
1985,895.0,665.0,525.0,575.0,1175.0,756.0,1096.0,1075.0
1986,636.0,834.0,675.0,575.0,1365.0,525.0,1326.0,725.0
1987,555.0,914.0,525.0,495.0,1016.0,485.0,794.0,976.0
1988,686.0,834.0,725.0,466.0,825.0,506.0,505.0,1013.0
1989,526.0,594.0,606.0,425.0,785.0,363.0,455.0,616.0
1990,554.0,594.0,634.0,533.0,675.0,655.0,144.0,955.0
1991,764.0,636.0,723.0,604.0,746.0,785.0,785.0,1315.0
1992,975.0,854.0,1005.0,776.0,700.5,965.0,776.0,1236.0
1993,696.0,527.0,816.0,687.0,655.0,1015.0,435.0,1146.0
1994,635.0,694.0,754.0,633.0,744.0,886.0,534.0,1156.0
1995,825.0,885.0,817.0,654.0,1075.0,801.0,756.0,1095.0
1996,784.0,575.0,674.0,266.0,675.0,716.0,645.0,915.0
1997,735.0,886.0,845.0,396.0,725.0,805.0,794.0,1025.0
1998,465.0,496.0,494.0,394.0,365.0,695.0,385.0,444.0
1999,856.0,695.0,555.0,566.0,457.0,743.0,536.0,1165.0
2000,645.0,445.0,336.0,506.0,306.0,385.0,205.0,746.0
2001,795.0,506.0,334.0,434.0,354.0,554.0,195.0,875.0
2002,445.0,206.0,0.0,125.0,146.0,44.0,0.0,417.0
2003,426.0,365.0,265.0,425.0,295.0,375.0,223.0,845.0
2004,696.0,515.0,436.0,475.0,416.0,394.0,266.0,1034.0
2005,535.0,595.0,427.0,444.0,446.0,336.0,415.0,944.0
2006,496.0,444.0,515.0,314.0,335.0,186.0,236.0,896.0
2007,706.0,983.0,896.0,325.0,435.0,366.0,314.0,1295.0
2008,644.0,943.0,685.0,324.0,504.0,395.0,335.0,655.0
2009,705.0,903.0,795.0,355.0,534.0,415.0,475.0,545.0
2010,775.0,976.0,526.0,362.0,496.0,305.0,335.0,765.0
2011,533.0,615.0,365.0,113.0,246.0,0.0,34.0,534.0
2012,506.0,396.0,175.0,164.0,284.0,116.0,104.0,324.0
2013,614.0,365.0,395.0,146.0,384.0,145.0,64.0,235.0
2014,525.0,364.0,394.0,234.0,205.0,276.0,176.0,285.0
2015,704.0,234.0,464.0,405.0,255.0,304.0,305.0,235.0
2016,707.0,454.0,615.0,455.0,636.0,354.0,335.0,285.0
2017,465.0,264.0,416.0,444.0,574.0,145.0,263.0,345.0
