YEAR,LCP_009A,LCP_010A,LCP_011A,LCP_015A,LCP_016B,LCP_017B,LCP_023A,LCP_049A,LCP_051B,LCP_12B
1886,32.0,,,,,,,,,
1887,56.0,,,,,,,,,
1888,43.0,,,,,,,,,
1889,43.0,,,,,,,,,
1890,44.0,,,,,,,,,
1891,44.0,,,,,,,,,
1892,49.0,,,,,,,,,
1893,59.0,,,,,,,,,
1894,57.0,,,,,,,,,
1895,73.0,,,,,,,,,
1896,48.0,,,,,,,,,
1897,48.0,,,,,,,,,
1898,76.0,,,,,,,,,
1899,59.0,,,,,,,,,
1900,47.0,,,,,,,,,
1901,49.0,,,,,,,,,
1902,57.0,,,,64.0,,,,,
1903,48.0,,,,33.0,,,,,
1904,32.0,,,,46.0,,,,,
1905,41.0,,,,58.0,,,,,33.0
1906,49.0,,,,59.0,,,,,29.0
1907,67.0,,,,55.0,,,,,38.0
1908,52.0,,,,49.0,,,,,41.0
1909,54.0,,,,55.0,,,,,33.0
1910,101.0,,41.0,,69.0,,,,,64.0
1911,99.0,,47.0,,35.0,,,,,75.0
1912,98.0,,51.0,,83.0,,,,92.0,75.0
1913,84.0,,38.0,,67.0,,85.0,,106.0,48.0
1914,64.0,20.0,35.0,,53.0,156.0,65.0,64.0,99.0,44.0
1915,52.0,24.0,40.0,111.0,41.0,134.0,47.0,56.0,81.0,38.0
1916,54.0,31.0,48.0,100.0,58.0,107.0,65.0,88.0,67.0,54.0
1917,51.0,49.0,36.0,88.0,34.0,130.0,57.0,81.0,85.0,34.0
1918,84.0,37.0,43.0,100.0,66.0,92.0,99.0,63.0,63.0,44.0
1919,94.0,64.0,50.0,128.0,57.0,187.0,78.0,212.0,108.0,42.0
1920,40.0,31.0,40.0,88.0,37.0,80.0,63.0,74.0,56.0,31.0
1921,63.0,36.0,51.0,103.0,47.0,144.0,80.0,118.0,60.0,48.0
1922,78.0,41.0,46.0,158.0,48.0,118.0,62.0,162.0,64.0,43.0
1923,37.0,28.0,43.0,68.0,40.0,98.0,44.0,206.0,35.0,21.0
1924,69.0,46.0,46.0,189.0,54.0,174.0,62.0,162.0,89.0,46.0
1925,66.5,21.0,42.0,104.0,54.0,94.0,53.0,95.0,68.0,45.0
1926,64.0,42.0,39.0,107.0,56.0,127.0,51.5,178.0,69.5,61.0
1927,53.0,44.0,41.0,133.0,53.0,118.0,50.0,293.0,71.0,41.0
1928,47.0,37.0,46.0,138.0,37.0,100.0,53.0,510.0,100.0,41.0
1929,63.0,48.0,38.0,150.0,43.0,136.0,67.0,722.0,80.0,36.0
1930,73.0,44.0,32.0,188.0,50.0,107.0,56.0,384.0,65.0,38.0
1931,74.0,26.0,51.0,237.0,43.0,109.0,70.0,833.0,73.0,44.0
1932,41.0,52.0,46.0,173.0,42.0,129.0,55.0,445.0,61.0,33.0
1933,52.0,61.0,56.0,211.0,60.0,149.0,53.0,323.0,60.0,52.0
1934,63.0,36.0,59.0,145.0,51.0,160.0,51.0,314.0,63.0,38.5
1935,31.0,43.0,28.0,67.0,35.0,69.0,31.0,364.0,53.0,25.0
1936,86.0,71.0,47.0,150.0,46.0,213.0,57.0,599.0,65.0,30.0
1937,130.0,56.0,51.0,249.0,51.0,160.0,69.0,643.0,101.0,41.0
1938,66.0,83.0,53.0,91.0,37.0,79.0,47.0,440.0,77.0,36.0
1939,102.0,76.0,72.0,147.0,53.0,145.0,77.0,403.0,83.0,41.0
1940,58.0,72.0,60.0,134.0,59.0,76.0,72.0,235.0,75.0,39.0
1941,50.0,60.0,35.0,113.0,33.0,68.0,47.0,479.0,79.0,38.0
1942,78.0,63.0,61.0,221.0,77.0,130.0,61.0,274.0,65.0,67.0
1943,57.0,46.0,44.0,174.0,60.0,134.0,55.0,156.0,72.0,57.0
1944,36.0,46.0,39.0,151.0,53.0,74.0,55.0,131.0,53.0,66.0
1945,60.0,48.0,52.0,242.0,67.0,118.0,57.0,216.0,61.0,87.0
1946,104.0,57.0,59.0,193.0,57.0,107.0,46.0,239.0,83.0,75.0
1947,95.0,45.0,48.0,147.0,53.0,77.0,48.0,151.0,79.0,104.0
1948,82.0,41.0,47.0,241.0,58.0,154.0,59.0,181.0,172.0,112.0
1949,70.0,46.0,52.0,218.0,67.0,131.0,72.0,256.0,108.0,99.0
1950,60.0,41.0,47.0,115.0,43.0,109.0,40.0,137.0,84.0,67.0
1951,59.0,36.0,71.0,91.0,61.0,101.0,54.0,180.0,128.0,58.0
1952,43.0,40.0,38.0,90.0,44.0,68.0,40.0,265.0,74.0,38.0
1953,90.0,56.0,54.0,133.0,90.0,87.0,56.0,290.0,86.0,127.0
1954,68.0,63.0,73.0,124.0,72.0,88.0,62.0,263.0,113.0,104.0
1955,57.0,49.0,54.0,159.0,65.0,150.0,53.0,153.0,75.0,108.0
1956,115.0,46.0,75.0,135.0,54.0,153.0,83.0,148.0,100.0,79.0
1957,63.0,47.0,35.0,134.0,33.0,59.0,43.0,109.0,74.0,47.0
1958,87.0,70.0,98.0,142.0,106.0,139.0,95.0,192.0,212.0,90.0
1959,75.0,44.0,64.0,174.0,60.0,121.0,64.0,127.0,81.0,63.0
1960,80.0,43.0,75.0,229.0,96.0,130.0,88.0,304.0,129.0,102.0
1961,43.0,31.0,43.0,89.0,64.0,47.0,54.0,171.0,82.0,33.0
1962,68.0,93.0,84.0,164.0,133.0,159.0,92.0,119.0,92.0,69.0
1963,70.0,68.0,77.0,88.0,196.0,157.0,100.0,162.0,123.0,64.0
1964,34.0,62.0,47.0,83.0,59.0,101.0,68.0,122.0,88.0,52.0
1965,68.0,52.0,46.0,70.0,88.0,78.0,74.0,146.0,95.0,36.0
1966,72.0,69.0,49.0,94.0,112.0,73.0,55.0,141.0,87.0,73.0
1967,50.0,34.0,34.0,42.0,71.0,36.0,42.0,121.0,74.0,58.0
1968,54.0,40.0,26.0,43.0,57.0,48.0,32.0,80.0,55.0,47.0
1969,80.0,76.0,69.0,84.0,107.0,73.0,105.0,291.0,125.0,100.0
1970,77.0,49.0,45.0,57.0,75.0,85.0,72.0,165.0,81.0,51.0
1971,61.0,54.0,34.0,66.0,51.0,45.0,44.0,90.0,74.0,57.0
1972,86.0,58.0,57.0,106.0,94.0,48.0,78.0,237.0,116.0,101.0
1973,86.0,51.0,61.0,91.0,64.0,81.0,50.0,183.0,74.0,88.0
1974,66.0,42.0,44.0,65.0,63.0,43.0,42.0,147.0,69.0,95.0
1975,51.0,58.0,42.0,95.0,62.0,53.0,60.0,175.0,63.0,88.0
1976,73.0,81.0,49.0,117.0,69.0,48.0,80.0,335.0,79.0,76.0
1977,95.0,88.0,59.0,183.0,76.0,92.0,70.0,388.0,104.0,124.0
1978,26.0,33.0,43.0,96.0,56.0,47.0,37.0,169.0,43.0,61.0
1979,46.0,63.0,40.0,94.0,63.0,40.0,54.0,124.0,68.0,117.0
1980,76.0,52.0,66.0,101.0,93.0,75.0,55.0,287.0,71.0,169.0
1981,70.0,37.0,54.0,84.0,44.0,39.0,54.0,369.0,59.0,150.0
1982,48.0,38.0,36.0,157.0,55.0,42.0,51.0,189.0,52.0,110.0
1983,48.0,56.0,54.0,105.0,103.0,82.0,74.0,269.0,96.0,151.0
1984,45.0,38.0,48.0,110.0,73.0,63.0,65.0,160.0,57.0,84.0
1985,44.0,37.0,65.0,121.0,85.0,82.0,62.0,91.0,43.0,80.0
1986,60.0,48.0,79.0,122.0,69.0,62.0,60.0,152.0,46.0,213.0
1987,62.0,36.0,50.0,89.0,63.0,61.0,66.0,181.0,74.0,313.0
1988,46.0,65.0,56.0,70.0,62.0,64.0,65.0,216.0,73.0,169.0
1989,49.0,44.0,45.0,54.0,57.0,69.0,43.0,259.0,44.0,372.0
1990,44.0,45.0,56.0,68.0,44.0,58.0,51.0,74.0,46.0,92.0
1991,62.0,50.0,52.0,91.0,66.0,72.0,75.0,77.0,57.0,71.0
1992,71.0,80.0,46.0,203.0,84.0,83.0,103.0,90.0,58.0,83.0
1993,60.0,54.0,40.0,59.0,35.0,35.0,45.0,109.0,32.0,47.0
1994,65.0,70.0,61.0,81.0,63.0,68.0,53.0,158.0,58.0,61.0
1995,57.0,35.0,41.0,40.0,94.0,42.0,52.0,136.0,37.0,35.0
1996,112.0,72.0,85.0,139.0,125.0,116.0,61.0,121.0,84.0,90.0
1997,48.0,66.5,52.0,73.0,49.0,61.0,53.0,180.0,54.0,51.0
1998,73.0,61.0,37.0,86.0,51.0,89.0,59.0,103.0,51.0,63.0
1999,62.0,46.0,42.0,68.0,36.0,113.0,79.0,78.0,39.0,60.0
2000,62.0,64.0,59.0,126.0,52.0,118.0,66.0,85.0,58.0,104.0
2001,61.0,35.0,43.0,108.0,38.0,88.0,87.0,87.0,57.0,57.0
2002,72.0,66.0,53.0,90.0,45.0,128.0,108.0,178.0,62.0,129.0
2003,32.0,51.0,37.0,46.0,29.0,77.0,37.0,171.0,45.0,61.0
2004,64.0,121.0,61.0,67.0,43.0,86.0,39.0,263.0,37.0,83.0
2005,59.0,55.0,64.0,49.0,59.0,98.0,72.0,156.0,65.0,77.0
2006,59.0,41.0,57.0,77.0,50.0,55.0,63.0,126.0,76.0,62.0
2007,51.0,56.0,75.0,94.0,48.0,108.0,61.0,109.0,66.0,110.0
2008,30.0,35.0,43.0,37.0,28.0,51.0,35.0,83.5,65.0,67.0
2009,46.0,39.0,80.0,73.0,94.0,134.0,73.0,58.0,47.0,87.0
2010,54.0,71.0,60.0,53.0,69.0,93.0,71.0,77.0,59.0,60.0
2011,33.0,37.0,60.0,66.0,56.0,59.0,59.0,115.0,52.0,76.0
2012,15.0,27.0,58.0,44.0,64.0,67.0,32.0,39.0,41.0,59.0
2013,47.0,57.0,69.0,69.0,58.0,67.0,53.0,85.0,61.0,67.0
2014,33.0,33.0,48.0,45.0,47.0,66.0,48.0,109.0,38.0,59.0
2015,34.0,38.0,71.0,52.0,59.0,111.0,79.0,111.0,63.0,67.0
2016,29.0,27.0,39.0,33.0,51.0,82.0,39.0,69.0,53.0,77.0
2017,45.0,38.0,52.0,39.0,53.0,62.0,52.0,85.0,52.0,63.0
