YEAR,LCP_009A,LCP_010A,LCP_011A,LCP_015A,LCP_016B,LCP_017B,LCP_023A,LCP_049A,LCP_051B,LCP_12B
1886,269.798846153846,,,,,,,,,
1887,290.470277777778,,,,,,,,,
1888,302.64025,,,,,,,,,
1889,309.765454545455,,,,,,,,,
1890,311.507045454545,,,,,,,,,
1891,342.664772727273,,,,,,,,,
1892,342.78,,,,,,,,,
1893,333.884318181818,,,,,,,,,
1894,329.084,,,,,,,,,
1895,294.154038461538,,,,,,,,,
1896,281.092142857143,,,,,,,,,
1897,304.779,,,,,,,,,
1898,310.183541666667,,,,,,,,,
1899,290.840555555556,,,,,,,,,
1900,307.035769230769,,,,,,,,,
1901,292.2265625,,,,,,,,,
1902,278.47,,,,292.24925,,,,,
1903,292.749545454545,,,,346.47224137931,,,,,
1904,292.910277777778,,,,322.9672,,,,,
1905,265.016666666667,,,,310.036538461538,,,,,411.545147058824
1906,288.5875,,,,318.909326923077,,,,,411.675
1907,290.034038461538,,,,353.414705882353,,,,,431.9119
1908,301.565,,,,334.710648148148,,,,,478.46875
1909,301.530625,,,,363.317407407407,,,,,456.190887096774
1910,305.362954545455,,318.751428571429,,350.664375,,,,,433.891630434783
1911,344.6735,,370.084,,381.80652173913,,,,,484.173534482759
1912,314.43,,347.853947368421,,342.6607,,,,247.422528089888,455.763306451613
1913,311.643166666667,,334.787125,,305.769833333333,,235.752307692308,,215.3675,467.150367647059
1914,328.151153846154,328.2525,371.48625,,332.976290322581,432.716585365854,245.336634615385,335.486666666667,228.073088235294,452.609814814815
1915,325.240384615385,328.934107142857,325.536323529412,375.151929824561,361.964666666667,428.953244680851,230.000416666667,310.259134615385,210.234109589041,400.4368
1916,299.20275,304.014090909091,285.492321428571,364.534186046512,293.346730769231,358.589130434783,218.510625,301.471625,214.69275,395.559078947368
1917,326.013,352.903157894737,318.07296875,372.321473214286,338.19475,395.54,229.7934375,319.241979166667,233.253189655172,447.661442307692
1918,321.878269230769,349.741617647059,358.024166666667,414.952730769231,339.981120689655,441.7256,249.399444444444,327.592211538462,259.532336448598,460.259
