YEAR,LCP_026A,LCP_031A,LCP_033B,LCP_037A,LCP_038A,LCP_052B,LCP_054B,LCP_28B
1901,,,,,,,1259.0,
1902,,,,,,,1037.0,
1903,,,,,,,1468.0,
1904,,,,,,,1744.0,
1905,,,,,,,2833.0,
1906,,,,,,,3441.0,
1907,,,,,,,2964.0,
1908,,,,,,,2487.0,
1909,,879.0,,,,,2238.0,
1910,,806.0,,,,,2669.0,
1911,,1126.0,,,1747.0,,3486.0,
1912,,1288.0,,,1649.0,,2392.0,1895.0
1913,,972.0,,,1475.0,841.0,2174.3333333333335,1430.0
1914,1331.0,1461.0,,,1757.0,1084.0,1956.6666666666667,1358.0
1915,1155.0,1485.0,,,1796.0,974.0,1739.0,1419.0
1916,1208.0,1126.0,,,1619.0,507.0,1862.0,1084.0
1917,645.0,1216.0,829.0,1648.0,1377.0,616.0,1463.0,1187.0
1918,743.0,984.0,646.0,1806.0,1213.0,548.0,1312.0,1325.0
1919,847.0,1509.0,1069.0,2099.0,1635.0,550.0,1302.0,2002.0
1920,638.0,1163.0,703.0,1472.0,1534.0,502.0,1039.0,1132.0
1921,1016.0,1853.0,968.0,2093.0,2104.0,1041.0,854.0,1790.0
1922,471.0,1318.0,713.0,1005.0,886.0,773.0,577.0,1051.0
1923,457.0,903.0,790.0,1380.0,1106.0,652.0,557.0,1139.0
1924,276.0,758.0,783.0,1337.0,1010.0,647.0,623.0,1102.0
1925,307.0,709.0,496.0,965.0,1367.0,545.0,667.0,985.0
1926,299.0,888.0,774.0,969.0,1220.0,439.0,534.0,1555.0
1927,348.0,613.0,577.0,752.0,1088.0,298.0,840.0,1290.0
1928,358.0,550.0,724.0,752.0,993.0,222.0,818.0,1306.0
1929,469.0,516.0,740.0,912.0,922.0,260.0,1004.0,1450.0
1930,513.0,517.0,887.0,1006.0,942.0,267.0,1042.0,1509.0
1931,692.0,988.0,927.0,1017.0,961.0,507.0,1342.0,1788.0
1932,515.0,1208.0,1087.0,1094.0,857.0,498.0,1615.0,2285.0
1933,512.0,784.0,791.0,1303.0,915.0,482.0,2259.0,1989.0
1934,551.0,649.0,434.0,1038.0,289.0,226.0,2773.0,1944.0
1935,619.0,1065.0,845.0,1406.0,627.0,353.0,2182.0,1810.0
1936,564.0,619.0,849.0,1039.0,665.0,271.0,1582.0,1192.0
1937,616.0,1017.0,783.0,1537.0,935.0,496.0,1261.0,1533.0
1938,516.0,1195.0,979.0,1470.0,797.0,529.0,1151.0,964.0
1939,533.0,1042.0,744.0,1325.0,876.0,523.0,1051.0,730.0
1940,761.0,1227.0,739.0,914.0,942.0,499.0,1064.0,991.0
1941,615.0,1024.0,470.0,1248.0,946.0,602.0,978.0,934.0
1942,505.5,1339.0,611.0,1031.0,984.0,542.0,1142.0,950.0
1943,396.0,1481.0,556.0,991.0,1240.0,468.0,1216.0,1355.0
1944,391.0,1055.0,498.0,975.0,1026.0,541.0,890.0,947.0
1945,382.0,1021.0,428.0,1174.0,1090.0,410.0,873.0,948.0
1946,350.0,961.0,439.0,720.0,1048.0,372.0,761.0,929.0
1947,410.0,846.0,624.0,1202.0,1234.0,537.0,1163.0,727.0
1948,401.0,1014.0,1023.0,1081.0,1261.0,576.0,1739.0,995.0
1949,620.0,1154.0,877.0,1013.0,1268.0,702.0,1516.0,1059.0
1950,319.0,325.0,405.0,734.0,615.0,612.0,820.0,322.0
1951,292.0,291.0,188.0,528.0,498.0,307.0,320.0,254.0
1952,479.0,173.0,176.0,730.0,435.0,356.0,200.0,428.0
1953,516.0,244.0,344.0,818.0,434.0,357.0,371.0,347.0
1954,522.0,398.0,294.0,875.0,312.0,315.0,790.0,497.0
1955,480.0,542.0,180.0,885.0,418.0,348.0,590.0,619.0
1956,327.0,369.0,122.0,404.0,379.0,275.0,640.0,377.0
1957,365.0,438.0,247.0,425.0,353.0,464.0,457.0,693.0
1958,304.0,571.0,229.0,737.0,560.0,507.0,503.0,772.0
1959,415.0,601.0,241.0,517.0,438.0,296.0,397.0,563.0
1960,414.0,706.0,292.0,734.0,676.0,450.0,463.0,1274.0
1961,409.0,920.0,247.0,839.0,691.0,535.0,635.0,1405.0
1962,334.0,994.0,241.0,920.0,719.0,639.0,755.0,1292.0
1963,334.0,730.0,219.0,737.0,577.0,670.3333333333334,1053.0,1220.0
1964,273.0,828.0,273.0,836.0,560.0,701.6666666666666,1556.0,1028.0
1965,412.0,1127.0,330.0,884.0,670.0,733.0,1300.0,1625.0
1966,386.0,885.0,358.0,612.0,787.0,699.0,1291.0,1151.0
1967,478.0,1425.0,379.0,605.0,414.0,771.0,1395.0,1209.0
1968,385.0,1187.0,345.0,595.0,572.0,648.0,1146.0,781.0
1969,520.0,1498.0,608.0,901.0,911.0,834.0,1944.0,1366.0
1970,426.0,1491.0,611.0,782.0,983.0,1331.0,1520.0,1477.0
1971,227.0,618.0,277.0,417.0,378.0,433.0,744.0,617.0
1972,220.0,483.0,197.0,430.0,770.0,400.0,906.0,525.0
1973,295.0,448.0,290.0,526.0,588.0,493.0,759.0,796.0
1974,235.0,433.0,391.0,338.0,734.0,573.0,541.0,709.0
1975,381.0,799.0,655.0,637.0,836.0,741.0,590.0,1047.0
1976,312.0,371.0,420.0,686.0,855.0,535.0,783.0,650.0
1977,158.0,407.0,543.0,451.0,621.0,580.0,658.0,648.0
1978,266.0,500.0,428.0,467.0,559.0,585.0,705.0,706.0
1979,403.0,406.0,573.0,798.0,593.0,739.0,1281.0,654.0
1980,466.0,511.0,578.0,657.0,683.0,591.0,1485.0,1056.0
1981,536.0,572.0,416.0,544.0,435.0,388.0,1639.0,1070.0
1982,658.0,627.0,533.0,748.0,743.0,672.0,1318.0,1145.0
1983,792.0,781.0,669.0,688.0,983.0,820.0,1371.0,1047.0
1984,886.0,634.0,569.0,686.0,1180.0,624.0,1664.0,938.0
1985,955.0,724.0,627.0,668.0,1322.0,812.0,1557.0,1131.0
1986,674.0,898.0,758.0,651.0,1543.0,568.0,1789.0,773.0
1987,621.0,1034.0,599.0,592.0,1197.0,543.0,1195.0,1131.0
1988,761.0,906.0,838.0,572.0,934.0,596.0,920.0,1152.0
1989,585.0,706.0,797.0,548.0,895.0,502.0,651.0,697.0
1990,603.0,633.0,699.0,610.0,741.0,718.0,579.0,1036.0
1991,828.0,683.0,839.0,680.0,831.0,858.0,1034.0,1398.0
1992,1040.0,917.0,1149.0,880.0,770.0,1041.0,1077.0,1297.0
1993,745.0,567.0,900.0,755.0,709.0,1080.0,904.0,1218.0
1994,678.0,747.0,869.0,713.0,797.0,952.0,772.0,1208.0
1995,881.0,947.0,928.0,732.0,1193.0,887.5,960.0,1154.0
1996,876.0,650.0,782.0,357.0,758.0,823.0,816.0,1016.0
1997,781.0,969.0,932.0,497.0,815.0,887.0,921.0,1105.0
1998,508.0,538.0,569.0,449.0,402.0,777.0,447.0,496.0
1999,939.0,751.0,600.0,631.0,492.0,807.0,604.0,1239.0
2000,697.0,498.0,440.0,590.0,341.0,502.0,345.0,956.0
2001,856.0,558.0,391.0,526.0,400.0,615.0,296.0,927.0
2002,505.0,249.0,27.0,176.0,177.0,71.0,30.0,458.0
2003,474.0,410.0,315.0,503.0,333.0,462.0,316.0,913.0
2004,781.0,588.0,552.0,566.0,459.0,511.0,350.0,1160.0
2005,576.0,661.0,491.0,515.0,485.0,410.0,463.0,1011.0
2006,546.0,510.0,594.0,358.0,369.0,263.0,311.0,977.0
2007,805.0,1147.0,1035.0,401.0,478.0,434.0,400.0,1451.0
2008,720.0,1049.5,819.0,397.0,545.0,469.0,428.0,712.0
2009,775.0,952.0,864.0,410.0,571.0,481.0,605.0,622.0
2010,904.0,1093.0,672.0,435.0,552.0,349.0,495.0,885.0
2011,605.0,732.0,450.0,186.0,302.0,19.0,186.0,628.0
2012,593.0,420.0,245.0,234.0,321.0,164.0,267.0,365.0
2013,693.0,409.0,466.0,195.0,422.0,203.0,123.0,295.0
2014,568.0,411.0,479.0,308.0,230.0,343.0,250.0,356.0
2015,840.0,279.0,574.0,475.0,289.0,348.0,382.0,268.0
2016,775.0,503.0,715.0,514.0,692.0,411.0,427.0,319.0
2017,548.0,310.0,509.0,537.0,627.0,183.0,575.0,463.0
