YEAR,LCP_026A,LCP_031A,LCP_033B,LCP_037A,LCP_038A,LCP_052B,LCP_054B,LCP_28B
1901,,,,,,,,
1902,,,,,,,,
1903,,,,,,,,
1904,,,,,,,,
1905,,,,,,,,
1906,,,,,,,,
1907,,,,,,,,
1908,,,,,,,,
1909,,4.96,,,,,,
1910,,4.85,,,,,,
1911,,5.43,,,,,,
1912,,5.62,,,,,,4.9775
1913,,5.07,,,,4.2725,,4.93
1914,5.1925,5.42,,,,5.21,,4.4225
1915,5.38,5.5475,,,,4.9825,,4.85
1916,5.29,5.37,,,4.785,5.19,,4.88
1917,4.4775,5.69,5.0075,5.01,4.42,4.8875,5.5625,4.43
1918,4.85,5.48,4.9775,5.07,4.52,5.045,5.56,4.74
1919,4.9975,5.315,5.02,5.34,4.41,5.0,5.38,4.585
1920,4.5,5.235,4.705,4.72,4.5,4.42,5.09,4.45
1921,5.445,5.81,5.0925,5.1925,4.875,5.145,5.01,4.62
1922,5.29,5.8325,4.8675,4.715,4.96,5.285,4.885,4.85
1923,4.915,5.06,4.545,5.23,4.45,4.85,5.07,4.555
1924,4.96,5.2475,4.84,4.94,4.9,5.29,5.155,4.7675
1925,5.14,5.2225,4.85,5.03,4.94,4.9925,5.175,4.595
1926,4.58,5.11,4.6625,4.695,5.07,4.82,4.7,4.815
1927,5.0825,5.23,4.41,4.65,5.09,4.85,5.8175,4.5425
1928,4.8275,5.2975,4.525,4.63,4.7475,4.85,5.29,4.315
1929,5.385,4.9825,4.5175,4.81,4.92,4.95,5.295,4.41
1930,4.96,5.04,4.5775,4.96,4.41,4.85,5.73,4.465
1931,5.51,5.595,4.7925,4.645,4.26,5.2,5.3,4.96
1932,5.005,5.3975,5.12,4.99,4.5,4.86,5.7,4.68
1933,5.9275,5.18,4.745,4.85,4.99,4.735,6.14,4.85
1934,5.29,5.29,4.85,4.85,4.41,4.82,5.455,5.205
1935,5.3675,4.54,4.4175,4.93,4.85,4.98,5.8375,4.41
1936,4.98,3.975,4.53,4.59,4.76,4.63,7.06,4.4975
1937,5.37,4.64,5.2075,5.29,4.965,5.21,5.7375,4.68
1938,4.5,4.5575,4.47,4.535,5.29,5.125,4.675,4.38
1939,4.9725,4.41,4.7125,4.85,4.86,5.04,4.7175,4.2625
1940,4.85,4.41,4.6225,5.13,5.135,4.745,4.3,4.495
1941,4.09,4.26,4.26,5.265,5.0125,4.895,4.0875,4.305
1942,4.654999999999999,4.47,4.925,5.22,5.29,4.85,4.53,5.29
1943,5.22,4.645,4.6,5.2725,5.1575,5.26,4.7825,4.92
1944,4.85,4.4025,4.505,4.9025,4.83,4.965,4.19,4.54
1945,5.33,4.9175,4.56,5.04,5.29,5.3775,4.85,4.7175
1946,4.97,4.63,4.81,5.025,5.125,5.27,5.02,4.725
1947,4.47,4.2125,4.565,5.29,4.945,5.1925,5.29,4.41
1948,5.29,4.91,5.1775,4.955,5.2,4.96,5.0,4.7
1949,5.56,4.715,4.93,5.135,4.95,4.9925,5.1125,4.84
1950,4.3475,3.92,4.61,5.0325,4.675,5.455,4.985,4.1325
1951,4.85,4.44,4.24,4.895,4.41,4.9175,4.9125,4.2
1952,4.91,4.1125,4.52,4.85,4.4425,4.91,4.915,4.23
1953,4.6,4.395,4.745,4.47,4.065,4.83,4.975,3.89
1954,4.92,4.555,4.645,4.73,4.915,4.82,4.665,4.34
1955,5.2,4.41,4.4225,4.5,4.33,5.0075,4.905,4.6375
1956,4.23,4.41,3.97,4.15,4.3175,4.4825,5.1375,4.02
1957,4.78,3.9925,4.1,4.465,4.73,4.73,4.26,4.585
1958,4.775,4.5075,4.585,4.39,4.85,4.67,4.41,4.76
1959,4.68,4.3275,4.37,4.04,4.4775,4.41,4.45,4.19
1960,4.815,4.74,4.395,4.7675,5.19,5.2,4.645,4.74
1961,4.34,4.85,4.185,4.59,4.92,5.1325,5.11,5.38
1962,4.7,4.5,4.4375,4.5,5.07,4.9925,4.5725,4.725
1963,4.3275,4.175,4.3225,4.69,5.185,4.921666666666667,5.34,5.195
1964,4.215,4.6,4.72,5.29,5.37,4.850833333333333,5.0925,4.63
1965,4.52,4.47,4.6875,5.07,4.88,4.78,4.85,4.55
1966,4.85,4.96,4.4775,4.77,4.8875,4.6075,4.78,4.715
1967,5.0075,4.545,4.1275,4.7225,4.17,4.2575,4.2875,4.4175
1968,4.63,4.915,4.68,4.625,4.99,4.685,4.95,4.1825
1969,5.3625,4.83,5.07,5.3725,5.5175,4.825,5.1575,5.07
1970,4.63,4.84,5.005,4.6125,5.0225,5.25,5.44,4.91
1971,4.41,4.53,4.91,3.995,4.475,4.52,4.4175,4.35
1972,4.56,4.85,4.87,3.8375,5.49,5.01,4.8,4.39
1973,4.2725,4.45,4.85,3.96,4.4025,4.4525,4.335,4.1
1974,4.56,5.08,5.18,3.94,4.96,5.0675,4.73,4.5525
1975,4.705,5.165,5.04,4.5,4.85,4.97,5.25,4.665
1976,4.41,4.58,5.0175,4.26,4.86,5.025,5.32,4.08
1977,4.07,5.1,5.93,4.41,5.135,5.455,5.73,4.915
1978,4.53,4.615,5.29,3.97,4.785,5.11,5.44,4.055
1979,5.25,4.68,5.4975,4.395,4.85,4.85,5.5025,4.785
1980,5.22,5.215,5.46,4.26,5.185,5.07,5.46,5.29
1981,5.395,4.7425,4.91,4.325,5.1675,4.5425,5.07,4.685
1982,5.155,5.1625,5.51,4.75,5.4,4.96,4.98,4.85
1983,5.0325,5.44,5.4725,4.69,5.73,5.1,5.29,4.705
1984,5.27,5.095,5.715,4.7725,5.4925,4.91,5.365,5.115
1985,4.6775,5.085,5.73,5.0775,5.29,5.13,5.045,4.74
1986,4.19,4.7425,5.47,4.515,5.59,4.985,5.62,4.305
1987,4.74,5.175,5.4,5.2775,5.28,4.96,5.425,5.42
1988,4.41,5.37,5.6075,5.03,5.29,5.29,5.4225,5.0275
1989,3.97,4.965,5.41,5.29,5.26,5.505,5.1,4.3225
1990,4.08,5.04,5.29,5.34,4.85,4.71,5.1225,4.87
1991,4.33,5.29,5.51,5.085,5.29,4.85,5.2375,4.7025
1992,4.0725,5.0,5.5875,4.79,5.07,4.92,5.5975,4.425
1993,4.085,4.93,5.37,4.85,4.85,4.9625,5.305,4.74
1994,3.99,5.11,5.73,5.29,5.025,5.22,5.635,4.4325
1995,4.085,4.85,5.79,4.5675,5.2975,5.475,5.19,4.095
1996,4.6375,5.14,5.73,4.85,4.905,5.73,5.29,4.835
1997,4.19,5.015,5.2325,4.85,4.85,5.51,5.0175,4.365
1998,4.2,5.17,5.745,4.5725,4.36,5.29,4.88,4.41
1999,4.41,5.29,4.92,4.865,4.26,5.385,5.0,5.03
2000,4.19,5.2425,5.53,4.85,4.46,5.395,5.2325,5.365
2001,4.78,5.0275,5.35,4.85,4.41,5.13,4.95,4.505
2002,4.75,5.0925,3.91,4.22,4.05,4.17,4.1425,4.295
2003,4.1875,4.73,5.29,4.7625,4.145,5.29,4.65,4.825
2004,4.77,5.27,5.3975,4.56,4.45,5.29,4.9775,4.87
2005,3.97,5.45,5.4725,4.69,4.64,4.85,5.1925,4.45
2006,4.485,5.2225,5.1875,4.7825,4.53,5.31,5.64,4.985
2007,5.285,5.8,5.59,4.85,4.41,5.535,5.07,5.51
2008,4.475,5.26,5.73,4.87,4.545,4.85,5.29,4.41
2009,4.12,4.72,5.29,4.91,4.6625,4.2425,5.11,3.7
2010,4.91,4.85,5.915,4.9175,4.85,5.07,5.8725,5.07
2011,4.44,5.285,5.6275,4.705,4.45,4.155,5.2075,4.835
2012,4.9,4.075,4.85,4.63,4.41,4.85,5.2,3.885
2013,4.85,4.8875,5.585,4.37,4.41,4.715,4.6825,4.43
2014,3.79,4.81,5.36,4.27,4.2125,4.47,4.91,3.7325
2015,5.33,4.8025,5.405,4.605,4.44,4.8275,5.105,4.565
2016,4.41,4.6575,5.07,4.55,5.055,4.64,5.44,4.02
2017,4.85,4.85,5.73,4.85,5.13,4.89,5.73,5.29
