YEAR,LCP_026A,LCP_031A,LCP_033B,LCP_037A,LCP_038A,LCP_052B,LCP_054B,LCP_28B
1901,,,,,,,,
1902,,,,,,,,
1903,,,,,,,,
1904,,,,,,,,
1905,,,,,,,,
1906,,,,,,,,
1907,,,,,,,,
1908,,,,,,,,
1909,,3.76,,,,,,
1910,,3.82,,,,,,
1911,,4.575,,,,,,
1912,,4.29,,,,,,4.205
1913,,3.8925,,,,3.45,,3.79
1914,4.54,4.06,,,,3.88,,3.7575
1915,4.15,4.185,,,,3.9075,,4.0
1916,4.31,3.91,,,3.83,3.7,,4.135
1917,3.77,4.09,3.57,4.05,3.75,3.59,4.24,3.83
1918,3.96,4.2375,3.5675,4.1275,3.96,3.735,4.135,3.825
1919,4.22,4.14,3.8,4.41,3.8275,3.95,4.07,3.99
1920,3.735,3.9125,3.35,3.885,4.0725,3.4575,3.85,3.53
1921,4.515,4.29,3.6325,4.27,3.935,3.905,3.985,3.86
1922,3.66,4.27,3.61,3.885,3.78,3.835,4.09,3.7625
1923,4.105,3.9,3.4125,4.135,3.73,3.7475,4.15,3.82
1924,3.62,4.075,3.465,4.1525,3.9175,3.97,4.11,3.715
1925,3.8,4.195,3.3,3.79,4.0125,3.7,4.175,3.97
1926,3.57,3.96,3.59,3.62,3.845,3.6075,3.96,4.2025
1927,3.71,3.93,3.275,3.715,3.865,3.61,4.29,3.855
1928,3.68,3.885,3.485,3.63,3.7425,3.59,4.215,3.91
1929,3.8825,3.99,3.56,3.77,3.875,3.59,4.155,3.97
1930,3.845,3.8,3.565,3.86,3.54,3.65,4.04,3.845
1931,4.11,4.2425,3.5875,3.79,3.47,3.75,4.0125,4.1675
1932,3.705,4.08,3.905,3.9,3.51,3.695,4.3475,4.16
1933,3.98,3.895,3.615,3.9525,3.6225,3.6,4.95,4.29
1934,3.89,4.17,3.495,4.08,3.54,3.5675,4.675,4.1325
1935,3.98,3.7525,3.6,4.09,3.6075,3.7775,4.6,3.85
1936,3.69,3.355,3.295,3.5475,3.595,3.54,4.62,3.48
1937,4.0575,3.765,3.36,4.2225,3.635,3.85,4.5175,4.0725
1938,3.76,3.86,4.0,3.98,3.625,3.8575,3.97,3.455
1939,3.9575,3.78,3.755,3.73,3.8875,3.8925,3.8675,3.3925
1940,3.8125,3.55,3.475,3.91,3.72,4.01,3.74,3.685
1941,3.57,3.435,3.255,4.07,3.825,3.81,3.355,3.45
1942,3.6224999999999996,4.025,3.87,3.87,4.13,3.7375,3.7725,4.1225
1943,3.675,3.905,3.49,3.9225,3.905,3.755,3.7325,4.02
1944,3.47,3.385,3.5175,3.84,3.645,3.81,3.685,3.32
1945,3.8575,3.74,3.45,3.92,4.1125,3.8975,3.9,4.0325
1946,3.63,3.85,3.7425,3.91,3.93,4.005,3.9175,3.74
1947,3.55,3.34,3.74,3.91,3.84,4.03,4.08,3.4125
1948,3.98,3.92,4.195,3.84,4.055,4.08,4.2,4.0125
1949,3.83,3.685,4.015,3.7775,3.935,4.055,4.115,3.82
1950,3.47,3.17,3.54,3.92,3.53,4.17,3.9925,3.0075
1951,3.64,3.42,3.13,3.655,3.61,3.71,3.6075,3.1725
1952,3.705,3.17,3.28,3.63,3.6375,3.82,3.87,3.3275
1953,3.4625,3.2025,3.4025,3.59,3.6375,3.78,4.0625,2.97
1954,3.65,3.4925,3.38,3.85,3.605,4.01,4.02,3.5
1955,3.635,3.5625,3.085,3.715,3.4125,3.9,3.955,3.35
1956,3.305,3.35,2.895,3.165,3.625,3.55,3.8625,3.17
1957,3.52,3.4,2.9425,3.63,3.555,3.57,3.55,3.6025
1958,3.4,3.6225,3.35,3.53,3.565,3.78,3.54,3.41
1959,3.49,3.3225,3.3025,3.16,3.4625,3.4875,3.55,3.1025
1960,3.52,3.7425,3.405,3.75,3.7675,3.725,3.77,3.88
1961,3.41,3.4925,3.35,3.7125,3.795,3.6925,3.8225,4.29
1962,3.3825,3.66,3.45,3.6375,4.03,3.925,3.9275,3.85
1963,3.4325,3.57,3.22,3.405,3.97,3.85,4.225,3.795
1964,3.18,3.5825,3.335,3.68,3.84,3.775,4.335,3.565
1965,3.5425,3.6675,3.48,3.685,4.1425,3.7,3.96,3.885
1966,3.43,4.08,3.33,3.525,3.86,3.77,4.09,3.725
1967,3.5475,4.02,3.22,3.625,3.545,3.53,4.09,3.62
1968,3.4675,3.8875,3.48,3.59,3.7625,3.55,4.0725,3.18
1969,3.725,3.9025,3.84,4.2525,4.025,3.725,4.27,4.0475
1970,3.58,3.9025,3.9,3.625,3.725,3.695,4.29,3.86
1971,3.4725,3.64,3.595,3.47,3.61,3.32,3.75,3.22
1972,3.355,3.815,3.5,3.44,3.9575,3.645,4.19,3.155
1973,3.48,3.5725,3.67,3.28,3.5125,3.36,3.69,3.1375
1974,3.5275,3.72,4.0125,3.5,3.845,3.79,3.84,3.5
1975,3.7575,3.635,3.99,3.76,3.73,3.75,4.41,3.7
1976,3.5225,3.5075,3.91,3.575,3.9775,3.6375,4.465,3.16
1977,3.21,3.755,4.2975,3.66,3.9,3.8075,4.44,3.53
1978,3.18,3.51,3.79,3.465,3.95,3.64,4.525,3.06
1979,3.5825,3.6375,4.1825,3.87,3.82,3.845,4.525,3.445
1980,3.7775,3.865,4.29,3.705,4.015,3.84,4.805,3.86
1981,3.7375,3.93,3.9825,3.6875,4.01,3.61,4.4225,3.645
1982,3.7275,3.995,4.135,3.8475,4.01,3.93,4.49,3.55
1983,3.7825,3.9,4.325,3.715,3.985,3.86,4.115,3.5425
1984,4.01,3.8525,4.41,4.0,4.24,3.91,4.6,3.96
1985,3.575,3.7,4.525,4.16,4.13,3.84,4.4125,3.69
1986,3.39,3.73,4.14,3.98,4.2225,3.75,4.4525,3.635
1987,3.6175,4.2975,4.205,4.235,4.1625,3.86,4.385,4.325
1988,3.56,3.99,4.33,4.24,4.05,4.14,4.48,3.8325
1989,3.3,3.7,4.23,4.2875,3.85,4.12,4.1,3.29
1990,3.325,3.75,4.0525,4.175,3.805,3.95,4.13,3.84
1991,3.39,4.03,4.195,4.05,3.885,3.925,4.335,3.77
1992,3.345,3.93,4.38,3.9725,3.7874999999999996,3.87,4.23,3.44
1993,3.3175,3.59,4.32,3.99,3.69,4.0875,4.2025,3.89
1994,3.15,4.03,4.2,4.17,3.7875,3.99,4.215,3.41
1995,3.745,4.155,4.255,3.775,3.9375,4.14875,4.315,3.225
1996,3.8,4.49,4.6,3.93,4.055,4.3075,4.04,4.03
1997,3.33,4.065,3.8575,3.8,3.98,4.07,4.34,3.36
1998,3.29,4.015,4.4975,3.73,3.765,4.0625,3.85,3.5375
1999,3.63,3.965,3.72,3.755,3.56,3.835,4.29,3.8975
2000,3.465,3.975,4.38,4.03,3.69,4.105,4.125,4.34
2001,3.6,3.9675,3.91,3.9,3.76,3.8575,4.08,3.42
2002,3.77,3.88,3.215,3.66,3.5775,3.25,3.2,3.31
2003,3.395,3.775,3.67,3.67,3.4525,4.0275,4.06,3.5625
2004,3.7925,4.105,4.25,3.93,3.72,4.045,3.9675,4.165
2005,3.315,3.83,3.98,3.825,3.675,3.78,3.97,3.31
2006,3.62,3.955,4.045,4.0675,3.68,3.8825,4.07,3.705
2007,3.865,4.44,4.715,3.8575,3.67,4.1575,4.11,4.3575
2008,3.67,4.015000000000001,4.32,3.9875,3.75,3.9125,4.255,3.38
2009,3.58,3.59,4.06,3.81,3.695,3.6125,4.34,3.15
2010,3.985,4.14,4.4225,4.26,3.8925,3.6925,4.345,4.0275
2011,3.865,3.95,3.86,4.1475,3.73,3.07,4.0175,3.67
2012,3.81,3.53,3.5325,3.755,3.695,3.25,3.8925,3.0875
2013,3.925,3.7225,3.82,3.695,3.605,3.72,3.615,3.62
2014,3.47,3.6125,3.945,3.88,3.59,3.5225,3.81,3.1225
2015,4.2275,3.745,4.29,3.93,3.53,3.58,3.98,3.415
2016,3.535,3.7025,3.9725,4.19,3.9125,3.6525,4.2,3.35
2017,3.79,3.755,4.5025,4.055,3.935,3.5975,4.71,4.0125
