YEAR,LCP_026A,LCP_031A,LCP_033B,LCP_037A,LCP_038A,LCP_052B,LCP_054B,LCP_28B
1901,,,,,,,,
1902,,,,,,,,
1903,,,,,,,,
1904,,,,,,,,
1905,,,,,,,,
1906,,,,,,,,
1907,,,,,,,,
1908,,,,,,,,
1909,,0.886,,,,,,
1910,,0.883,,,,,,
1911,,0.897,,,,,,
1912,,0.9035,,,,,,0.9155
1913,,0.8725,,,,0.87425,,0.9025
1914,0.914,0.879,,,,0.9065,,0.88725
1915,0.912,0.889,,,,0.902,,0.892
1916,0.9155,0.8645,,,0.905,0.892,,0.8885
1917,0.895,0.888,0.9,0.896,0.8985,0.858,0.909,0.885
1918,0.9035,0.901,0.8845,0.899,0.9065,0.895,0.91725,0.883
1919,0.906,0.9015,0.89675,0.895,0.895,0.893,0.9075,0.892
1920,0.88425,0.869,0.8895,0.8715,0.88575,0.867,0.888,0.875
1921,0.91275,0.892,0.8845,0.895,0.9095,0.8945,0.89425,0.89075
1922,0.906,0.913,0.889,0.88025,0.90725,0.896,0.898,0.906
1923,0.9075,0.87175,0.88875,0.901,0.88825,0.8805,0.91,0.899
1924,0.8725,0.87225,0.8885,0.901,0.8955,0.91,0.89775,0.90125
1925,0.893,0.892,0.87975,0.882,0.903,0.88025,0.899,0.873
1926,0.8815,0.896,0.88125,0.887,0.90975,0.88525,0.9035,0.895
1927,0.90275,0.8765,0.884,0.896,0.8955,0.853,0.913,0.8955
1928,0.885,0.8685,0.8765,0.874,0.9,0.84,0.911,0.885
1929,0.907,0.85375,0.87425,0.877,0.903,0.8885,0.9125,0.8765
1930,0.90525,0.86625,0.87475,0.865,0.888,0.8135,0.898,0.892
1931,0.916,0.8825,0.87,0.877,0.843,0.8945,0.901,0.91125
1932,0.901,0.8725,0.886,0.888,0.8715,0.877,0.9215,0.8845
1933,0.92875,0.8875,0.884,0.8975,0.9005,0.8815,0.93475,0.91075
1934,0.901,0.89475,0.8865,0.9075,0.861,0.85675,0.9145,0.891
1935,0.91,0.822,0.8945,0.8955,0.888,0.87525,0.926,0.88775
1936,0.89625,0.77775,0.89,0.889,0.896,0.849,0.938,0.894
1937,0.9135,0.848,0.88925,0.90575,0.904,0.905,0.929,0.9025
1938,0.894,0.855,0.8725,0.88425,0.898,0.902,0.8785,0.89125
1939,0.92025,0.80275,0.87075,0.881,0.88875,0.882,0.8775,0.881
1940,0.912,0.823,0.8845,0.888,0.905,0.885,0.86425,0.888
1941,0.887,0.8,0.846,0.89,0.887,0.859,0.82,0.8395
1942,0.8965000000000001,0.854,0.889,0.9,0.8935,0.82175,0.879,0.906
1943,0.906,0.849,0.88275,0.903,0.8855,0.8895,0.8985,0.893
1944,0.8915,0.826,0.879,0.897,0.8975,0.84425,0.87225,0.878
1945,0.909,0.889,0.876,0.8925,0.9055,0.885,0.86925,0.9025
1946,0.903,0.86,0.878,0.897,0.90275,0.8985,0.8845,0.899
1947,0.857,0.84125,0.8815,0.879,0.8885,0.887,0.887,0.886
1948,0.91,0.867,0.888,0.863,0.904,0.88,0.906,0.88
1949,0.8855,0.85,0.89525,0.89275,0.88975,0.88825,0.915,0.8795
1950,0.844,0.79375,0.8355,0.894,0.877,0.91925,0.9035,0.85875
1951,0.8635,0.85675,0.865,0.886,0.85675,0.875,0.89675,0.8725
1952,0.866,0.76175,0.876,0.89925,0.88125,0.90075,0.909,0.861
1953,0.852,0.785,0.876,0.877,0.82,0.88,0.9175,0.836
1954,0.89375,0.8465,0.867,0.89125,0.904,0.87,0.909,0.867
1955,0.883,0.86075,0.8665,0.8805,0.854,0.8945,0.913,0.877
1956,0.85425,0.821,0.8045,0.85725,0.882,0.84725,0.897,0.8415
1957,0.879,0.82275,0.7995,0.884,0.878,0.87325,0.8795,0.90075
1958,0.885,0.852,0.867,0.891,0.908,0.876,0.8925,0.85475
1959,0.86825,0.838,0.847,0.8625,0.84575,0.82975,0.87825,0.87425
1960,0.87975,0.8745,0.86175,0.893,0.908,0.89425,0.89275,0.888
1961,0.88025,0.83725,0.81925,0.89375,0.90075,0.8795,0.89625,0.911
1962,0.869,0.86025,0.82825,0.8925,0.898,0.8865,0.899,0.89225
1963,0.859,0.8265,0.856,0.8805,0.91425,0.8816666666666666,0.919,0.9175
1964,0.8045,0.88125,0.871,0.9035,0.903,0.8768333333333334,0.912,0.905
1965,0.8755,0.8615,0.828,0.894,0.903,0.872,0.912,0.91575
1966,0.901,0.86975,0.8855,0.91075,0.897,0.863,0.8885,0.905
1967,0.88425,0.86275,0.809,0.8895,0.847,0.854,0.87775,0.8805
1968,0.878,0.877,0.89025,0.88475,0.88975,0.8605,0.911,0.894
1969,0.9075,0.864,0.855,0.894,0.909,0.89,0.8915,0.9025
1970,0.88175,0.869,0.882,0.895,0.9,0.858,0.91375,0.911
1971,0.87875,0.848,0.8775,0.82275,0.86525,0.8685,0.884,0.878
1972,0.8525,0.8795,0.874,0.866,0.90125,0.8845,0.89875,0.89025
1973,0.8185,0.8205,0.84175,0.83725,0.8705,0.8235,0.891,0.8255
1974,0.86525,0.8435,0.882,0.87725,0.8935,0.889,0.8825,0.89325
1975,0.8865,0.87775,0.9,0.8775,0.88725,0.8865,0.924,0.89075
1976,0.8535,0.822,0.896,0.873,0.8955,0.887,0.9325,0.884
1977,0.813,0.89875,0.91125,0.88925,0.901,0.90775,0.933,0.914
1978,0.8925,0.83325,0.89225,0.867,0.872,0.88025,0.9065,0.86875
1979,0.8875,0.8145,0.8925,0.89,0.895,0.86875,0.931,0.8895
1980,0.88025,0.861,0.89925,0.878,0.907,0.88625,0.921,0.919
1981,0.90525,0.8585,0.86875,0.8825,0.89325,0.84375,0.91,0.891
1982,0.906,0.8985,0.912,0.897,0.914,0.872,0.918,0.877
1983,0.904,0.8875,0.91,0.8695,0.924,0.876,0.91125,0.89
1984,0.885,0.856,0.912,0.87125,0.916,0.883,0.9205,0.9005
1985,0.891,0.847,0.919,0.9,0.907,0.86575,0.918,0.879
1986,0.827,0.855,0.8965,0.8775,0.92025,0.894,0.917,0.8765
1987,0.89,0.888,0.90975,0.902,0.88975,0.885,0.9115,0.90475
1988,0.896,0.872,0.907,0.9075,0.918,0.884,0.915,0.88675
1989,0.87175,0.8535,0.8955,0.9125,0.906,0.8975,0.909,0.879
1990,0.859,0.81375,0.882,0.89275,0.881,0.8745,0.9135,0.88875
1991,0.88075,0.85825,0.91,0.88625,0.907,0.8905,0.92875,0.8845
1992,0.8925,0.878,0.90325,0.8745,0.89375,0.908,0.921,0.88275
1993,0.8785,0.8225,0.905,0.88825,0.8805,0.8935,0.91925,0.895
1994,0.88,0.871,0.9,0.90475,0.87075,0.9025,0.923,0.8825
1995,0.884,0.867,0.912,0.879,0.901,0.90875,0.905,0.8455
1996,0.89775,0.88875,0.9145,0.894,0.88925,0.915,0.9065,0.902
1997,0.86725,0.865,0.896,0.89075,0.884,0.9095,0.89825,0.851
1998,0.88,0.88,0.906,0.8555,0.856,0.901,0.892,0.865
1999,0.902,0.859,0.872,0.8735,0.85025,0.905,0.866,0.902
2000,0.88575,0.833,0.91225,0.889,0.8535,0.9145,0.881,0.897
2001,0.895,0.88775,0.904,0.88025,0.878,0.898,0.905,0.8845
2002,0.8815,0.824,0.787,0.848,0.7935,0.83825,0.772,0.867
2003,0.85875,0.8485,0.8885,0.87925,0.832,0.9095,0.9055,0.899
2004,0.89575,0.8695,0.8835,0.868,0.83125,0.878,0.90225,0.903
2005,0.8515,0.86875,0.9,0.894,0.8545,0.874,0.862,0.89
2006,0.872,0.87625,0.885,0.87625,0.842,0.88925,0.915,0.902
2007,0.906,0.916,0.9045,0.88175,0.841,0.895,0.894,0.902
2008,0.89025,0.883,0.903,0.8815,0.86775,0.895,0.909,0.8695
2009,0.84275,0.85,0.88275,0.882,0.831,0.847,0.9095,0.819
2010,0.91,0.8985,0.915,0.87825,0.87675,0.879,0.916,0.9035
2011,0.89275,0.898,0.916,0.846,0.774,0.82975,0.8725,0.909
2012,0.91075,0.849,0.885,0.889,0.8,0.882,0.893,0.8445
2013,0.895,0.8395,0.91075,0.864,0.80925,0.88,0.8725,0.8805
2014,0.8435,0.882,0.891,0.8725,0.8075,0.868,0.8965,0.849
2015,0.92125,0.8555,0.9065,0.89375,0.869,0.884,0.905,0.8795
2016,0.892,0.832,0.888,0.883,0.8665,0.861,0.922,0.838
2017,0.899,0.84625,0.9045,0.8745,0.891,0.892,0.904,0.898
